Word,Languages,Example
lüüt,Baseldytsch Ostschwizertütsch Züritüütsch Bärndütsch,die hät es altershäim für zwölf lüüt iigrichted 
maa,Baseldytsch Ostschwizertütsch Züritüütsch Bärndütsch,s tavärnerächt hät mer zää jaar spööter em wirt vom wilde maa verchauft 
maal,Züritüütsch,wo s heft remmalju vom centro studi walser rimella s eerscht maal usechoo isch händs deet e schrybig presäntiert wo scho vil besser gsy isch aber alewyl na daa und deet echli gspässig für s vertumpft a aso s händs zum byspiil d schrybig oa welen yfüere 
mached,Züritüütsch Bärndütsch,d dokumäntazioon und s sekretariaat mached föif wyteri persoone 
maches,Baseldytsch Bärndütsch,im gräubere gitts no s steinebrüggli über d fränke im volk haltet sich dr glaube dass die brugg röömisch isch und bestandteil vo dr römerstroos übere hauestai gsi isch archäologischi fünd maches woorschiinlich dass es i däm gebiet e römerstrooss gee hett und au nöime e übergang über d fränke ob die hüttig steibrugg vo de röömer erbaut worde isch muess stark aazwyflet wärde guet meeglig isches aber dass teil drvo uff enere friehnere röömische brugg basiere bereits im joorhundert jedefalls isch s steinebrüggli urkundlig erwäänt isch d brugg renoviert worde und hett e betonkärn bichoo sitdäm datiert me d brugg wie sie jetzte stoot uffs joorhundert wiiso an däre zimli abglägene stell e massivi brugg baut worde isch isch nid klar allfelligi tourischte wird obacht empfohle dr ort hett bis zer zwischekriegszyt als verwunsche golte will deert immer widr fraue für immer ins wasser gange sin 
machet,Ostschwizertütsch Bärndütsch,so näbis machet christe nöd 
machs,Bärndütsch,dyni marroni ouge u dys pächschwarze haar chan i nie meh vergässe u du weisch das isch wahr hesch mit dym lache mys einsame härz berüert u dyni guet nacht gschichte hei mi verfüert es isch schön uf den alpe u glych geit der summer verby der bärgwald wird farbig der erscht schnee chunnt scho gly i gseh dyni silhouette im aabesunnestrahl d schätte sy läng u die letschti bahn fahrt i ds tal i mues gah u wär weis wenn mir üs widergseh machs guet adelina adelina ade i ha gchochet hie obe u du hesch serviert mir hei enand immer ghulfe wens het pressiert jetz isch d sunneterrasse mit ussicht uf d bärge läär tisch u stüel sy verruumt u niemer meh chunt derhär d saison isch z änd ud d zuekunft scho parat du geisch hei ga studiere und i han en arbeit ir stadt drum nimm mi i arm als wärs zum allerletschte mal d sunne geit under und i mues abe i ds tal i mues gah u wär weis wenn mir üs widergseh machs guet adelina adelina ade drum nimm mi i arm als wärs zum allerletschte mal andalusie isch wyt und i mues abe i ds tal es isch wis isch u wär weis ob mir üs widergseh vaya con dios adelina adelin ade weis gott i lehre spanisch du wirsch es gseh adios adelina adelina ade 
machsch,Bärndütsch,dr kolumbus isch ga fahre het sech s nid lang überleit het scho vor vierhundert jahre nid druf glost was d lüt hei gseit dr kolumbus möchti sy aber leider gsehnig y me isch für die grosse tate eifach immer echli z gschyd lang tuesch hin und här berate und drum machsch se zletscht halt nid geng we me sech s richtig überleit merkt me dass s nid geit dr napoleon isch zoge bis nach russland mit sim heer hätt er d sach genau erwoge wär er z korsika i d lehr dr napoleon möchti sy aber leider gsehn ig y me isch für die grosse tate eifach immer echli z gschyd lang tuesch hin und här berate und drum machsch se zletscht halt nid geng we me sech s richtig überleit merkt me dass s nid geit i zum bischpil hätt es liedli chönne schreiben über das won ig itz grad öich ha prichtet grad e sones lied wie das doch won i mers rächt ha überleit hani gseh dass s gar nid geit
machts,Baseldytsch Züritüütsch Bärndütsch,wä me d vokallengi systematisch wott feschthalte aso mit aa ee uu oo ää öö etc machts wenig sinn daadenäbet y statt ii z bruuche ussert i dialäkt wo näbed em gschlossene lange i au e langs offes händ z b baseltüütsch oder aber umgcheert i dialäkt wo näbed em offene churze au e churzes gschlosses i händ z b basel und bärntüütsch wo also d lengi nöd vo de qualit t abhanget 
madle,Baseldytsch,d ritterfamilie wird zum erste mol in de schriftlige quelle erwähnt wo vom ene gotefrid de eptingen as züüge in ere schänkigsurkunde für s chloster schöndaal d reed isch wo hützudags as felschig gältet mit ihre burge um eptige si si die umbestrittene herre über s obere diegtedaal gsi im johrhundert het sich s gschlächt in zwei hauptlinie deilt die einti het ihre name vo dr burg blochmont über em elsässische kiffis gnoh und si läächlüt vo de grafe vo pfirt gsi die anderi isch d madler linie gsi noch dr burg madle oberhalb vo brattele im baselbiet wo si vo de habsburger überchoo hai 
mah,Ostschwizertütsch Bärndütsch,die wichtigschte sind h nay na oder de chlii wage mah y na oder de groos wage und vajray na oder de diamante wage tibetisch buddhismus 
maint,Baseldytsch Ostschwizertütsch,de historiker ammianus marcellinus wo usfüerli öber d alemane gschribe het maint as im johr d alemane drum um fride bete hend wel möglicherwis prieschter oder vorzaiche vonere schlacht abgrote hebid 
maiste,Ostschwizertütsch,de emil ebneter hät früener di maiste vo däne chrütli und worzle sälber im alpstai gsammled hüt wärdet dia verwändete zuetate vorwigend importiert 
maitli,Baseldytsch Ostschwizertütsch Züritüütsch Bärndütsch,d jungwacht isch tradizionell für buebe und dr blauring für maitli zueständig 
makes,Baseldytsch Bärndütsch,zu ihre lieder wo am meiste gspiilt wärde ghöre fantastic angel heart under my skin bitter moon music makes my world go round flavour of the day a love like tides und everybody knows i love you 
mam,Bärndütsch,refrain hansköbi findet öich aui ganz blödi u chunt nech itz de cho abestäche wi mannstöggi hansjakob si per u sini mam si ja tod am herr sägesser git er aube kampfrapport wär isches wo eigentlech nid gemein wär und itz im gärtehüsli vom autersheim läbt hansköbi findet öich aui ganz blödi i dr schublade mit de mässer i dr chuchi fäut öppis frou fankhuser de scho deheim ghört scho fasch dr lärm vo dr strass louft dür e däuhöuzliwaud s isch haubi zwöi i dr nacht si berüert en ast u frürt u plötzlech ghört si usem busch es raschle zuckt zäme u nimmt dr pfäfferspray us dr täsche verwächslet ne mit dr parfummusterfläsche si gratet i panik isch würklech fasch z düre druff und erliechteret wo nur e chylne bueb fürechunt si fragt ne es wird cheuter und i bi dört vor dehei chum doch mit und ob är sini eutere verlore heib är seit ja sticht zue si atmet schwär sprayt ne a schreit und kollabiert wi d athmosphäre und vater tod spiut sis lied uf dr harfe dr köbi louft hei ids heim u stinkt nach parfum dir müesst au früe stärbe komet berüert d ärde unufklärti verbräche vo ching verüebt wärde refrain
mami,Bärndütsch,me gseht se nümm so viu ir schtadt öppen am sunntig mau im tierpark är schtosst dr wage sie fuetteret d büffle die chliini grännet schiesst dr nuggi furt är bückt sech är gseht chli komisch us villecht isch s dr teddybär i sim hosesack är list dr nuggi uf tuet ne dr chliine wieder ine die grännet grännet hört nümme uf jitze wird är ganz närvös laat dr chinderwage schtah sie het erbarme nimmt die chliini i d arme die wird plötzlech schtiu lachet ds mami a sis schnäue outo het är immer no so schön wie s isch es ligt jitz nümme dinn mit däm chindersitz isch s nume no haub so schpitz sie findet s sowieso e witz wett lieber no es ching dür d wuche schteit är hinder em gmüesregau är schafft im lade wo sim schwager ghört dä kennt r no vor schueu het ne nid möge schmöcke het ne nid emau beachtet jitze isch es umgekehrt aber är verchouft das gmües mit charme är het geng e schpruch parat är lachet mit de dame kennt jedi bim name da chunnt dr schwager us em lager si charme gheit i chopfsalat es isch truurig es isch wahr me würd ne fasch nümm kenne dr rebeu hingerem gschteu hanspeter jitz bisch ne nümme
mani,Baseldytsch Ostschwizertütsch Bärndütsch,i de edda e buech wo die nordischi mythologii behandlet werd vom moo gsait as zwai chind de bil und d hj ki e bueb und e maitli im moo ine sind wo de moogott mani uufgnoo het 
mannli,Bärndütsch,är schteit am fänschter luegt am schnee zue huucht a d schybe zeichnet mannli dry d moderatorin am radio verzellt e schlächte witz isch glücklech oder tuet z mingscht so när geit d türe uuf wie ne wysse wirbelwind schteit plötzlech d schwöschter da setzt das diebschtahlsichere lächle uuf fragt so herr pfeuti wie geit s üs wie jede tag seit är merci es muess aber das ghört sie nümm wüll sie ds bett macht angeri sorge het är nimmt e schluck vo däm caf dä isch chaut schwarz bitter dusse schneit s no ging dr park ligt grau in grau vor sym fänschter es düecht ne dä zitteri vor chälti är ghört wie d frou am radio vo re massekollision redt uf dr änn eis irgendwo ir nöchi vo olte s isch nid z erschte mal won är das ghört aber ds erschte mal won är über so öppis muess lache 
marti,Züritüütsch Bärndütsch,em fischer sy gramatik ghöört bis hüt zun grundlaage vo de bischrybig vom schwyzertüütsch zäme mit de züritüütsche gramatik vom albert wäber lueg obe de baseltüütsche gramatik vom ruedolf suter de b rntüütsche gramatik vom werner marti de b rntüütsche sintax vom werner hodler em dritte band vom spraachatlas vo de tüütsche schwyz und de flexioonskapitel i de vile bänd vo de räie beiträge zur schweizerdeutschen grammatik 
masch,Bärndütsch,du miechsch o gschider en abgang dir gheie scho fasch d ouge zue mach dir keni sorge es geit o ohni di was d hesch z säge gha hesch gseit ghöre masch scho länger nümm s gseht so uus als giengs aune angere glych suech dir ke guete grund zum blybe gründ zum gah gits gnue allei isch s villech o liechter alleini z sy da weisch was d hesch was dir fäut nume hie hangisch du zimli im lääre zwüsche no nid scho nümm zwüsche no nid scho nümm mit chly glück fngsch de säuber hei geisch am beschte ging graduus irgendeinisch geisch de linggs oder rächts de cha gar nüt schief gah egau wenn wo dass du aachunnsch füeu di wie deheim we s dir glingt leg dyni müede chnoche an e huufe suech dir e guete grund zum blybe gründ zum gah gits gnue allei isch s villech o liechter alleini z sy da weisch was d hesch was dir fäut nume hie hangisch du zimli im lääre zwüsche no nid scho nümm zwüsche no nid scho nümm suech dir e guete grund zum blybe gründ zum gah gits gnue allei isch s villech o liechter alleini z sy da weisch was d hesch was dir fäut nume hie hangisch du zimli im lääre zwüsche no nid scho nümm zwüsche no nid scho nümm
mathis,Baseldytsch Züritüütsch,de jakob joseph matthys oder au mathis oder mathys gschribe dezämber z oberrickebach gmäind wolferschiesse meerz z stans isch en katolische prieschter gsy wo öppe füfzää jaar as kaplaan z maria rickebach und gäge zwänzg jaar as kaplaan z talew il gwürkt hät 
matur,Baseldytsch Bärndütsch,dr wilhelm balmer het z baasel d matur gmacht 
matuur,Baseldytsch Ostschwizertütsch Züritüütsch Bärndütsch,drufabe hät er d matuur naagholt und hät nachane vo bis z züri und vo bis na drüü semeschter z läipzig gstudiert 
mau,Bärndütsch,im familie oder bekanntkreis isch es i viune gägende üeblech sech mit eim oder mehrerne müntschi uf d backe ds begrüesse im alemannische rum gitt me sech i dene gebiet wo am wäutschland neecher sy drü verteilt uf beidi backe i angerne orte sy o zwöi oder eis müntschi üeblech im alemannische ruum begrüesse sech meischtens maa u frou oder frou u frou mit müntschi säutener zwe manne i angerne kultuure begrüesse sech nume d manne mit müntschi während das de froue verbotte isch während sech ir dütschschwytz e maa un e frou we si sech ds erschte mau begägne ender nume mit emne händedruck begrüesse gäbe sech die wäutsche o scho denn drü müntschi 
maybe,Bärndütsch,one more candle today it makes eighty now they came for your birthday in the little grey town in the narrow street where your house stands there you live alone since he has gone you ask your children to come more often why not on sunday maybe they say memories seem to be dreams when you re in the old age the cat sleeps on the pillow at least he won t leave you the clock strikes as to remind you that someday you will go and meet again your old fellow memories seem to be dreams when you re in the old age you remember the holidays you used to spend by the sea and the salty wind on your face which was young and pretty memories seem to be dreams when you re in the old age now all you have left are photographs and your eyes to cry your eyes to cry your eyes to cry
medie,Baseldytsch Züritüütsch Bärndütsch,so werded dr sinn und s guete funkzioniere vom kollegialitätsprinzip au immer wider i de medie und in politische gremie diskutiert 
mee,Baseldytsch Ostschwizertütsch Züritüütsch Bärndütsch,zum andere hät der abegg mee und mee zwyfel ghaa öb er d t tigkäit am idiotikon mit äinere i der indische filology überhaupt chön veräine 
meeglig,Baseldytsch,bis ins joorhundert isch dr hitte normali wäg ins laufetal nid meeglig gsi will d birsschlucht bim chessiloch z grellige nid z überwinde gsi isch 
meeh,Züritüütsch,dr phosphorghalt vom see liit aber mit derziit öppe mg m immer noch meeh als s dopplete über em zuelässige grenzwert 
meerere,Baseldytsch,es stammt us meerere epoche und stoot as ansambel under dänggmolschutz 
meereri,Baseldytsch Bärndütsch,d familie het meereri generazioone lang d chläibaasler schulthäiss gstellt 
meerz,Züritüütsch,de felix albert balsiger meerz z b rn bürgeroort chüniz septämber z chüniz isch en schwyzer g rmanischt aber au äine von ganz früene schy spörtler gsy 
meerze,Züritüütsch,kunscht hät em allwääg au gfale wo n er im meerze mit de schy de jaunpass ufegfälet isch hät er de maaler ernst hodel junior aatroffe und dadruus isch e läbeslangi fründschaft woorde 
meh,Baseldytsch Ostschwizertütsch Züritüütsch Bärndütsch,me cha mit däm schpezielle assessment no meh als mit de üebliche verfahre wie assessment center oder potenzialanalyse e präzisi und überprüefbari uussag mache nid nume zu de vorhandene fähigkeite und potenzial vo mene mänsch sondern au zu de mittel und längerfrischtig erreichbare ziel de notwändige rahmebedingige und au em benötigte ziitruum 
mehreri,Baseldytsch Züritüütsch Bärndütsch,i de meischte grössere vor allem i chreisfreye städt gits in dütschland en oberbürgermeischter oder e oberbürgermeischterin und eine oder mehreri biigordneti wo dänn au emal d amtsbezeichnig bürgermeischter träged 
meinig,Baseldytsch Ostschwizertütsch Züritüütsch Bärndütsch,sit langem lueget mers uusnahmswiis als zuelässig a dass en bundesrat öffetli e meinig üsseret wo vo dere vom gsamtbundesrat abwiicht wänn er sich uf sis gwüsse berüeft und s gschäft im übrige nöd vo ihm bearbeitet wird 
meinsch,Bärndütsch,i chume nid zu dir mi chasch nümme bueche nei i wott nüt vo dir kei blueme a kei chueche dä brief wo du mir hesch gschriebe i hane geschter übercho meinsch nid ou du heigsch übertriebe wenn du schrybsch i fähl dir so i chume nid zu dir i tue di nid bsueche i wott kei brief vo dir kei blueme a kei chueche syt denn woni furt bi gange isch scho viel wasser d aare ab und i ha mi ziemlech guet ufgfange ja i halte mi uf trab i wott kei brief vo dir kei blueme a kei chueche wenn öpis wosch vo mir de muesch mi scho cho bsueche wenn du schrybsch i chönn dir vertroue de überzügt mi das nid ganz i würd nie meh of di boue i blybe lieber of distanz ha dir gäng gnue müesse bläche für chly wärmi u komfort drum chumm mir nid mit dyne verschpräche i gloube nüm a schöni wort i wott nüt vo dir mi chasch nümme bueche wenn öpis wosch vo mir de chasch es ja versueche 
meinä,Bärndütsch,eigentlech schad s me sech nümme so gseht aber irgenwie klar hüt isch nümme wi denn nachdäm mer doch so überzügt hei gmeint mir sig verbündet fr geng u blibe fründe az änd zämä g hängt zämä plant i dä ferie gsi heinis no gschwore ws o chäm sig fr ewig es team weiss no dr erscht suff doch nüm wini hei bi cho nächtelang freestyle takes uf tape ufgno irgendwenn fasch di mit dene type womer früecher so toys hei gfunge afa afründe da la bländä fo bling u chärä i clips projezierschs uf dis eigete läbö u iz loufsch wi könig im quartier umenang hesch vom beck bis zum coop dis revier i dr hang mann ws louft mit dir es ire schiinwäut läbsch ischs dr würklech so längwilig hätt i niemaus dänkt beste fründ hä iz kennsch mi nümm hä drfür machsch mit dene tuble uf beste fründ mer hei no grappt um üs respäkt z verschaffe iz gisch paarne uf d frässe um dr respäkt z verschaffe machsch uf gagsterimage wosch läbe wi die läng mer a gring verdammt man wo läbe mer hie wirsch jedem klische grächt afa deale mit hasch ds isch real wi im fium au hei chly agfange dr pittbull ar site um idruck z mache u scho di chly brüetsch red nur vo bitches u chärä tröimt vore karriere im drogebizz sch a dr zyt es wider zrügg ufe bode fingsch i gloube dra i meinä d hoffnig stirbt z letscht s nur ä phase isch wo o mau verbi isch
meischt,Baseldytsch Züritüütsch Bärndütsch,für de textsatz wird meischt e serifeschrift verwendet 
meitli,Züritüütsch Bärndütsch,in basel sind sie als d meitli mit de blaue jupes und de wisse bluse bekannt 
mene,Baseldytsch Züritüütsch Bärndütsch,er isch verhürotet und vater vo mene sohn 
mensche,Baseldytsch Ostschwizertütsch Züritüütsch Bärndütsch,in düütschland würded suscht mensche vo düütscher ethnizität wo nöd im ehemalige düütsche riich oder siine nachfolgeschtaate gebore worde isch als ussländer gelte 
merci,Baseldytsch Bärndütsch,wenn du vome andere wikipedia artikel do ane cho bisch sottsch dört ane zruggoh un dä link wo d em gfolgt bisch so ändere dass mer uff em richtige artikel vo dere lischde obe landet merci 
meriaa,Baseldytsch,si soon franz vo andlau het die ganz liigeschaft de bäide baasler spekulante achilles bischoff und johann jakob bachofe meriaa verkauft 
merian,Baseldytsch Züritüütsch,wie n en syni koleege gschetzt händ gseet men am abschiidsgschänk wos em gmachet händ en faksimiletruck vom matthäus merian synere topographia helvetiae us em jaar 
meriri,Ostschwizertütsch,s arabische verb kennt zwoo zite drai persone drai zahle und meriri modi 
merki,Baseldytsch Züritüütsch Bärndütsch,de gottlieb merki häd vo bis z mänidorf a de elementarschuel de hütige understufe vo de primarschuel als begnadete lehrer gschaffet 
merkis,Bärndütsch,i mües dir chil zyt lah hesch du mir gseit wüssisch afe o wie das spili geit u was schnäu chunnt geit o schnäu verbi hesch gseit das weni mögi warte bis zyt isch cho u wes de sowit sign ja de merkis de scho es wir i dine ouge gschribe si u dini ouge hei mir gseit hütt am abe ja da isches sowit hütt da löh mir üs die ganz nacht zyt u bis du bi mir bisch da singe i für mi weni wart uf di na na na na na na na na hütt chasch du aues ha vo mir na na na na u we d nid gli da bisch baby i schwöres de chume i zu dir na na na na na na na na säg was hesch aues vor mit mir na na na na u we d nid gli da bisch du i schwöres de chum i zu dir i mües dir chli zyt lah hesch du mir gseitscho viu z mängisch sigisch inekeitu so ne schäui nacht hegiis no nie brachthesch gseit das wen ig immer so blibi wini bide sigi o aues klar für diu de gäbis kes haute meh i wärdi de scho gseh brige refrain
merkmol,Baseldytsch Ostschwizertütsch,wiiteri merkmol sind under anderem ostschwiz restschwiz akch r agg r ach r hd 
merksch,Bärndütsch,umehange umeschtah wär seit wohäregah wär seit wo s düregeit was isch wo agseit wäre fahrt mit welem mit är het e heisse schlitte är isch ne sowieso hanspeter i wott mitcho är findets heiss we me si name uf französisch seit är isch es gräui erschiinig öb r hocket oder schteit meter ohni rouschueh dermasse bi figur e maa wienes ärdbebe steu dr mau vor du loufsch mit dim meitschi dür d schpitugass u ihri aute si am see u sie verzeut grad dass daheim e fläsche ros im chüeuschrank schteit u re ds puff i dere schtadt uf e wecker geit u jitz nimmsch none biss vo dim whoppercheese u überleisch dr scho mau rein präventiv was di dene i dr bude seisch we d morn am morge ufschteisch u weisch dass d di jitz lieber no zu ihre leisch jitz wosch ere grad säge wo dis velo schteit u merksch wie dr dr whopper uf d sandale gheit ghörsch reiffe quiitsche gsehsch zwedrei meter chrom u bläch u drinn dr hanspeter u du gsehsch wie sie iischtigt wie sie näbenang hocke är isch dr king du hesch dr burger i de socke hanspeter früecher oder schpäter chunnt dr hanspeter hanspeter i warne di hanspeter i hasse di hanspeter u nid nume i hanspeter gang furt vo hie
mers,Züritüütsch Bärndütsch,sit langem lueget mers uusnahmswiis als zuelässig a dass en bundesrat öffetli e meinig üsseret wo vo dere vom gsamtbundesrat abwiicht wänn er sich uf sis gwüsse berüeft und s gschäft im übrige nöd vo ihm bearbeitet wird 
met,Baseldytsch Bärndütsch, es hucke dreij herre am rhin un werfle e bumbischs schicksal erüs vive fesseneme roeft dr aant bfui marckelse breelt de zwait panzer nach wyhl bellt de drett es spalte drej herre am rhin met goldiche axe kärne atom de hauklotz esch min land es hucke drej herre am rhin wann kejje mr se nin 
metzler,Baseldytsch Züritüütsch,es sind bis zum hütige tag nu drei amtierendi bundesröt nüme wiidergwählt worde nämli de bundesrat ochsenbein de christoph blocher und d bundesrötin ruth metzler 
meuron,Baseldytsch,d uusstelligsrüüm befinde sich noch eme domizilwäggsel im joor im ene spootgotische altbau dä isch vo de bäide archidekte herzog de meuron e bitz renoviert worde und mit eme kontrastierende nöibau vergröösseret worde 
middel,Baseldytsch,si beschränggt d middel wo si aawändet uf wasserfarbe ölchriide und dusch und zäichnet uf babbiir vo allne mööglige gröössene 
middi,Baseldytsch Züritüütsch,vo dr middi vom jahrhundert aa isch dr titel ändgültig verschwunde 
miech,Bärndütsch, oder schimpfwörter sy glückssach e leu e blöde siech e glünggi un e sürmel hei einisch zämme krach gha es risegrosses gstrürmel dr glünggi het zum leu gseit är syg e blöde siech und dä isch sofort zum sürmel was ja o nid jede miech und er het ihm das verzellt und gseit dr glünggi syg e sürmel und dr sürmu het s em glünggi gseit u dä macht druus es gstürm uf verzellt s em blöde siech u wo dä drvo het ghört het er gseit zum leu är syg e leu und das het dise gstört und er haut em blöde siech eis um d ohre dass es blüetet u dr glünggi lauft drzue u gryft jitz ou no y u wüetet u dr sürmel u dr glünggi u dr leu u dr blöd siech hen die ganzi nacht lang gschleglet bis am andere morge früech
miesse,Baseldytsch Züritüütsch,der einte partij ha n i i de grundsätze miesse bijstimme aber i hätt s nid mit allem ihrem tue und trijbe ha derffe zur andere partij ha n i i de grundsätze nid bijstimme chenne nur hie und da i eppis wohl wil uberall aj eppis guets ist 
mieti,Ostschwizertütsch Bärndütsch,well de franz aber ale bsitz abglehnt het hend die drai brüedere a de abtai e chlini mieti zalt mit fisch 
migros,Baseldytsch Züritüütsch Bärndütsch,i de stadt sind d zäntraale vo groosse schwyzer undernäme wie de migros s mediezäntrum vo srf z öörliken und d gschäftsläitige vo wirtschaftsverbänd vom kanton züri und vo de ganze schwyz 
mii,Baseldytsch Bärndütsch,dr bolo het fir alles uffgsetzti falschi und inszenierte pessimismus nyt iibrig ghaa dr germanischt und brofässer louis wiesmann vo dr staatlige literaturkredit kommissioon basel stadt het iiber ihn gschriibe bolo ist kein sorgloser schreiber er gibt nur aus der hand was vor seinem künstlerischen gewissen besteht bolo hat sich nie einschränken lassen er tut wozu es ihn innerlich treibt nimmt kein blatt vor den mund und wirkt ausgesprochen volksnah aber hinter seiner freien unkomplizierten art steckt auch ein gefühlsmensch der seiner leserschaft ganz unmodern ans herz zu rühren weiss seine frische unmittelbare schreibweise hat ihn beliebt und erfolgeich gemacht imene voruusgangene gsprääch mit em louis wiesmann het der bolo s folgendi programmatischi bekenntnis abgleggt d wirggligkait kennt dunggels und tragischs aber au hälls und begliggends sunscht hätt s lääbe kai sinn so wenig wien ych mit rosabrille und illusioon aafange kaa so wenig mag ych die schwarze brille dichtig wo s lääbe nit bejoot goot fir mii an iirer scheenschte uffgoob verbyy sy schriftsteller kolleeg hans räber het emool iiber dr bolo gsait bym bolo fungglet in jeedem satz en unbestächligi eerligkait 
mik,Bärndütsch,wüsstr no homes ladies weed und z mik wüsstr no freie itritt i klübs wüsstr no backstage krisegebiet was heimer hüt drvo leider si di zyte verbi hoffe schwär ds wüsstr no womer für raps hei stötz becho gmeint mer lande dr cou fürs läbe was heimer hüt drvo hei üs chli übernoh üs dumm und dämlech zaut für rapresent drnah dänkt mer wärde zäme aut bewise zämehaut wi hei si gheisse die wo üs hei wöu beuftrage ehhm pesche macht z managemant dr boris d ufnahme wär häts dänkt sägs nid für d bands nur usgabe pesche b zieht d inahme us de uflage so storys heimer gnue uf lager zu derä zyt verzichtmer uf gage aus wo üs a partys zieht isch z gratisbier fürne guete abe chom jetz förnes suufgelage hesch üs no d hütte voukotzt chasch mau go d mueter frage när isch dr bescht cho du meinsch dä mit de wasi giele money talks bullshit walks wie doch kes fazit zieh nüt aus wahr mi lieb abrupte studioabbruch mer nähme d schärbe nid uf u deune gö d närvä när druf scho gli dr zämäschluss mit andere bärner crews ah chlyklass dr name seits aus chönnt da öppis wärde drus nüt aus e schärbehuufe wi nach giggs i mängem huus was het dr anger immer gschroue aui häng id luft yeah aui häng abe söui no e freestyle mache oder was wüsstr no homes ladies weed und z mik wüsstr no freie itritt i klübs wüsstr no backstage krisegebiet was heimer hüt drvo leider si di zyte verbi das si no zyte gsi geng e sack weed drbi wi chlini jungs bringsches ufe punkt hei gmeint s blibt drbi luget fründe i dänke gärn zrügg a mini jugendsünde e här doch uf sit üs i d hütte chotzt hesch wott üs d muetter nümme gnue gschtürmt he nö nö itz muesch nid abwiche du masch liire ha d nase vou vo schnapsliche chasch ja schiebe s machi flachwixer sösch wirdi handgrifflech sch ja wi früecher jungs nüt glehrt göt über büecher gar on mau paar schüüm für mi u mini brüeder da hani müeh drmit ou mach grad z dopplete fahre mer witer bi schissträcks mit featuring vom doppu d üs gfröit wi chlini chind gmerkt e rocker mischt das ding da chunnt mer grad di chotz i sinn ey itz muesch stoppe he gmeint ds heigmer scho beredt hei üs e schäiss fortbewegt ok ok durschtschtrecki bis zum aubum a propos durscht gloub s schlat d schtund für nomau e schuum e itz mau ärnschthaft wägem aubum dä gar on isch abschum verdammt nomau jungs brucht ds arschloch e haubstund s dräie sech au um e itz mau chli aschtand di herre haut d schnure genau di söttme id aschtaut sperre wüsstr no homes ladies weed und z mik wüsstr no freie itritt i klübs wüsstr no backstage krisegebiet was heimer hüt drvo leider si di zyte verbi wüsster no die hends geng gseit s verwütscht di no dänkt sig über au sibe bärge chäm mit glück drvo ds heimer mitbecho o wäg de spitzle uf de färse heis ir zytig gläse gli druf bini hinter gitter gsässe für jahre schitter gfrässe was heit de dir so gä sit zimmer müessmer d pille immer mitnäh u z echo nachem aubum so d medie heis verrisse u d homes dick druf gschisse witeri projekt vergissne när z mik a nagu ghänkt lengscht usem rampeliecht verbannt nieme anes aubum dänkt schpinnsch si landeswit verhasst nüt weue wärde mit dr spitze vom bärg ar eigernord z seili grisse häng id luft äuä füscht id frässe heinis disset wi dan s wäge fählende hooks u schäbige loops jungs sind zum täil ächt wäcki tunes chäuner dr nächscht schuum hei dänkt d rächnig göng uf mit träcks wi brus brus und producers wi kuze doch ischmer itz grad glich i bi bsoffe wi nie i de letschte jahr auso wo si di bier he schrei doch nomau ou geit ds no lang säuber d schuud dä siech itz nähmer di beiz voenang wüsstr no homes ladies weed und z mik wüsstr no freie itritt i klübs wüsstr no backstage krisegebiet was heimer hüt drvo leider si di zyte verbi wüsstr no homes ladies weed und z mik wüsstr no freie itritt i klübs wüsstr no backstage krisegebiet was heimer hüt drvo leider si di zyte verbi
milit,Züritüütsch,scho im früelig isch er en richtige redakter woorde hät aber i säbem jaar vil gf lt wil er wuchen i s milit r hät müese 
mim,Bärndütsch,uf dere farbfoto gseht men e gutsche wo fahrt amne abe am meer drin sitzt es bildhübsches mannequin dernäbe der arm um ihns gschlungen e heer d stärne schyne vom tiefblaue himmel drufabe und undedra steit ds glück sigi das und es glas vomne liqueur i weiss nümme wie men ihm seit i bi bis jitz nume sälte am aben i gutsche ga fahre am meer bi mit kem mannequin befründet und liqueur das schetzen i nid eso sehr aber sitdäm i die foto ha gseh und ha gläse was undedra steit weiss i was mir i mim truurige läbe doch eigentlech alles entgeit mietet drum dir wo mit mannequins bekannt sit e gutschen am beste no hüt fahret a ds meer wen es abe wird nähmet dä liqueur und ds liqueurglas mit denn üses mönschleche läbe uf ärde das müesst dir doch zuegäh isch mies und we me weiss wo me ds glück cha ga finge de fragt me doch nid nach em pris 
